start	end	text
880	3280	欢迎来到AI网文剧本课程
3280	5940	我们快速回顾一下善解课的学习内容
5940	9440	善解课是中长篇内容框架生成技巧
9440	12300	分析了小说大纲框架的重要性
12300	15140	重点学习是W场景搭建法
15140	18860	使用这个方法可以帮我们搭建庞大的世界观
18860	22360	今天的课程是中长篇内容续写技巧
22360	24600	我们会学习三大技巧
24600	26760	分别是网文章节规划
26760	28280	网文章节生成
28480	29860	网文章节排榜
29860	30920	和续写技巧
30920	33340	今天的课程内容分为三个部分
33340	34480	第一部分
34480	36440	网文章节规划技巧
36440	39280	学习整个网文的写作的四个阶段
39280	40640	第二部分
40640	42560	网文章节生成技巧
42560	44520	会教大家拆解章节
44520	46360	根据章节分开写作
46360	47940	第三部分
47940	50020	网文文章续写技巧
50020	52740	会利用腾讯文档排榜文章
52740	54020	方便管理和改写
54020	56000	那么接下来进入今天的课程内容
57740	58960	首先我们来了解一下
58960	60280	网文文章的规划技巧
60280	62000	上节课程中我们已经提到了
62000	63900	网文的整个框架是如何生成的
63900	65420	整个框架其实做的差不多了
65420	66380	但还有一个小的细节
66380	67720	网文并没有去给它进行生成
67720	69260	就是前40万字的节奏
69260	70840	这前40万字的节奏
70840	72140	其实跟我们今天所要讲的
72140	74280	网文生成和续写的技巧是有关系的
74280	75640	接下来我们就来了解一下
75640	77140	前40万字为什么这么重要
77140	78620	简单来说
78620	80360	可以把整个网文的写作阶段
80360	81240	分为四个阶段
81240	82380	10万字以内
82380	83320	15万字以内
83320	84220	40万字以内
84220	85340	以及40万字以后
85340	86100	这四个阶段
86100	87820	其实各自的侧重点是不一样的
87820	89440	而实际上40万字以内的
89440	90820	这三个阶段是最为重要的
90820	92460	因为细坑往往都是发生在
92460	93420	这40万字以内的
93420	95100	首先我们来看一下
95100	96720	网文写作四个阶段的第一个阶段
96720	98060	也就是10万字以内
98060	99060	10万字以内
99060	100420	它是一个验证架构的周期
100420	101800	这个周期的核心作用
101800	103740	其实就是验证我们所写的这个世界观
103740	105700	这个设定是否是用户所喜欢的
105700	106860	这个周期尤为重要
106860	108080	因为这个周期就决定了
108080	109440	你的作品起点能够有多高
109440	111300	好的作品一定是在前10万字内
111300	112240	特别能抓住人的
112240	114300	而且大部分作品能否与平台签约
114300	116100	也就是这10万字内所决定的
116100	117680	基本上所有的平台签约期
117680	118660	都是在10万字以内
118660	119640	如果写了10万字
119640	120240	你没有签约
120240	121740	后续其实也没有必要挣扎了
121740	122640	这说明平台判断
122640	123620	这本书没有太大潜力
123620	124620	即使后续续约
124620	126020	也不太可能会有很好的发展
126020	128100	平台是不会给到流量倾斜和扶持的
128100	129680	所以10万字以内至关重要
129680	131300	并且在这前10万字里
131300	132440	我们必须要把世界观
132440	133440	展示的清清楚楚
133440	134000	明明白白
134000	135380	把设定中最有趣的部分
135380	136580	一定要在这前10万字里
136580	137160	直接扑出来
137160	138420	如果说前10万字
138420	138960	用户看不到
138960	140500	能够让他们继续读下去的点
140500	142700	那么这时候流失率是最高的
142700	144080	所以前10万字非常重要
144080	145060	一定要想翻设法
145060	145900	快速切入主题
145900	147060	快速展开世界观
147060	148440	把故事中最有趣的部分
148440	149980	在前10万字里直接抛出来
149980	151160	让读者产生兴趣
151160	152720	同时让平台编辑产生兴趣
152720	153360	产生关注
153360	154740	这样才能大概率提升
154740	156240	小撮的签约可能性
156240	157640	接着是第二个阶段
157640	158900	15万字以内的阶段
158900	160480	一旦前10万字过了签约区
160480	161580	那么在15万字以内
161580	163140	我们就会迎来第一波平台的流量
163140	164600	因为新书上架之后
164600	166260	平台会测试这本新书的潜力
166260	167340	有多少
167340	168260	所以这个阶段
168260	170040	平台会适当给到一定的流量倾斜
170040	171640	这也就是我们一直所说的
171640	172620	新手签约保护期
172620	173860	如果在15万字以内
173860	174880	作品质量比较不错
174880	176360	后续平台会逐渐给到资源
176360	176920	不断推流
176920	177980	在各个渠道曝光
177980	179360	但如果15万字以内里
179360	180180	数据不是特别好
180180	181960	后续平台可能就会放弃这本小说
181960	183540	看你这边的自然增长流量了
183540	184800	所以这个周期特别重要
184800	186420	一定要抓好平台的流量倾斜期
186420	187460	在15万字以内
187460	188480	一定要做到暴点密集
188480	189220	只有暴点密集
189220	190420	才能大量吸引用户订阅
190420	192120	同时为了让用户更好的订阅
192120	192960	打赏点赞
192960	194380	市场暴更也很重要
194380	195640	你可以在文末告诉读者
195640	196920	如果大家今天打赏
196920	197980	点赞到什么程度
197980	199300	你可能明天或者后天
199300	200060	会暴更多少张
200060	200760	这样一来
200760	201820	也可以更好的冲击数据
201820	203080	所以这个阶段来说
203080	204700	很明显一定是强框架的
204700	205800	只有在框架设定里
205800	207100	前期思考清楚这些暴点
207100	208500	才能在前15万字以内
208500	209740	很好的进行高密度轰炸
209740	210900	第三个阶段
210900	212940	也就是网文写到15万字到40万字
212940	214720	因为前15万字高密度轰炸
214720	215280	写完之后
215280	216080	如果数据还不错
216080	217160	继续坚持写下去
217160	219120	那么必然会在15万字到40万字之间
219120	220120	迎来第一个疲劳期
220120	221680	所以这是一个修正的周期
221680	222680	这个阶段来说
222680	223300	不要冲得太猛
223300	224540	因为前面刚打完一场大战
224540	225640	密集抛了各种暴点
225640	227160	一方面体力到了极限的阶段
227160	227920	另一方面
227920	229020	脑海中所构思的情节
229020	230180	可能没有那么多存获了
230180	231980	这个时候比较适合的方式是晃一晃
231980	233000	但如果缓得太厉害
233000	234120	文章就会写的特别水
234120	234740	造成掉粉
234740	236360	所以滑水也是有技巧的
236360	237420	可以适当多一些爽点
237420	238700	参一些长剑桥段过渡
238700	240200	但要确保每5个章节
240200	240980	依然有一个暴点
240980	242020	所以这个周期来说
242020	243500	对框架的依赖相对会弱一些
243500	244720	是一个弱框架周期
244720	245940	用来修整放缓节奏
245940	247860	为什么定在40万字
247860	249100	因为根据大量数据验证
249100	250300	除非是线下级神座
250300	252140	一般用户订阅增长到40万字左右
252140	253240	就开始进入平缓期
253240	254260	甚至慢慢下滑
254260	255200	这是无论怎么努力
255200	255900	都无法避免的
255900	257340	所以心态一定要放平和
257340	258340	40万字以后
258340	258960	我们要做的事情
258960	259860	其实是保持稳定
259860	261340	尽量确保缓慢数据增长
261340	262580	延缓数据下滑时间点
262580	263820	控制数据下滑速度
263820	264860	40万字以前
264860	265860	我们要的是充数据
265860	266660	40万字以后
266660	267620	要想翻设法
267620	268840	延长整个小说的寿命
268840	269900	只有延长小说寿命
269900	271000	才能使收益最大化
271000	272180	因为如果新开一个坑
272180	273480	要重新验证小说
273480	274880	是否能经得起市场验证
274880	275740	是有风险的
275740	277000	所以如果写的小说
277000	277800	获得比较好的收益
277800	278620	一定要想翻设法
278620	279420	延长单前数据
279420	280200	较好的小说寿命
280200	281900	这个阶段是一个非常长的周期
281900	282700	无法预估
282700	284060	所以核心是控制节奏
284060	285300	根据数据调整节奏
285300	286300	如果数据平稳
286300	286960	可以随几张
286960	288340	常见做法是用桥段
288340	288840	稳住读者
288840	289960	如果数据明显下滑
289960	290560	就要爆根
290560	291240	增加爆点
291240	291820	拉数据
291820	293100	灵活控制内容产出
293100	294760	到这里
294760	295620	有些同学会问
295620	296680	这个阶段是不是对
296680	297620	框架依赖性弱了
297620	298200	再加相反
298200	298980	40万字以后
298980	300080	反而是强框架依赖
300080	300800	因为比如
300800	301440	主角已经是
301440	302500	世界光里最强的角色
302500	303460	数据下滑时
303460	304200	想增加爆点
304200	305580	但主角已经是巅峰了
305580	307300	打反派都是切瓜砍菜
307300	308240	如何拉节奏呢
308240	309680	如果想重新调整世界光
309680	310820	比如五级巅峰之上
310820	312000	再加一个上古五中
312000	313160	但读者会认账吗
313160	314400	除非前期有过铺垫
314400	315140	提到过传说
315140	316120	否则莫名其妙
316120	317140	推出更高级别的角色
317140	318460	读者反而无法接受
318460	319720	因为世界光已经认可
319720	321240	突然出现认知之外的东西
321240	322640	数据是会大量下滑的
322640	323520	所以问题就在这
323520	324860	如果前期框架不扎实
324860	325700	40万字以后
325700	326780	想延长更长篇幅
326780	327300	就会受限
327300	327880	因此
327880	329240	上一节课提到关键观点
329240	330600	框架一定要往大里做
330600	331580	框架往大里做
331580	332280	最核心的点
332280	333280	就是为了40万字以后
333280	334440	能更好的延长内容
334440	335700	把世界光做得足够大
335700	336740	才能把小说寿命
336740	337420	拉得足够长
337420	338700	那就是前期把框架
338700	339540	搭建扎实的原因
339540	341020	了解网文写作
341020	342040	四个阶段是什么样的
342040	342740	我们再来看一下
342740	343860	我们真正写作到
343860	344600	这四个阶段时
344600	345900	分别要注意哪些事项
345900	347280	具体需要规避的问题
347280	347840	首先
347840	348440	10万字以内
348440	349320	力求展开世界光
349320	350740	确保前三张爆点密集
350740	351660	频繁测试爽点
351660	352520	开篇三张
352520	353660	我们称之为黄金三张
353660	354620	这三张写得好不好
354620	355600	决定整部小说
355600	356240	是否有潜力
356240	357600	如果前三张数据差
357600	358580	无非有两种选择
358580	359460	要么直接停更
359460	360240	更换主题
360240	360880	重新开坑
360880	361960	那么反复调
361960	362820	调到数据较好
362820	363940	但一般情况下
363940	364700	前者更靠谱
364700	366160	反复调效果很难起来
366160	367280	所以最开始前三张
367280	368200	一定要花足够力气
368200	368900	提前做好准备
368900	369800	反复调试爆点
369800	370640	创造一个开门红
370640	372680	开始三张结束后
372680	373600	中间10万字以内
373600	375080	可以反复测试各种爽点套路
375080	376340	看是否起到较好作用
376340	377220	是否可复用
377220	378620	测试爽点过程中
378620	379600	也要确保每三张
379600	380980	有一个爆点拉起用户的兴趣
380980	383300	10到10万字
383300	384320	如果过了签约光
384320	385240	平台有流量倾斜
385240	386280	大量新流量进来
386280	387220	这是平台测试小说
387220	388140	商业化价值的阶段
388140	388980	如果有后续
388980	389720	就会追加流量
389720	391640	没有就可能再不会有流量倾斜
391640	392980	这波流量一定要抓住
392980	393740	所以这个阶段
393740	394700	力求爆点密集
394700	395660	几乎每张结
395660	396780	至少有两个高潮点
396780	397480	高潮迭起
397480	398440	可以大量爆根
398440	399260	拉更多的用户
399260	399740	增加订阅
399740	400600	平台就会认为
400600	401920	这部小说商业价值越大
401920	403860	后续愿意投入更多资源来推广
403860	405160	才能获得收益最大化
405160	406640	所以10万到10万字
406640	407800	可能比前10万字更重要
407800	409380	尤其是成熟携手开心坑
409380	410640	前10万字套路化模板
410640	411360	不用担心签约
411360	413020	更关注10万到10万字
413020	414240	如何获得更大平台流量
414240	415680	10万字以内都很重要
415680	417540	10到40万字
417540	418460	进入第一个疲劳期
418460	419400	可适当放缓节奏
419400	420620	但不意味着随便水文
420620	421800	要确保没有太水的粘节
421800	423540	至少保障5粘节一个爆点
423540	424260	如果卡文
424260	425340	可适当用桥状过度
425340	427460	但要追求把增长数据再拉一拉
427460	428560	尽可能在40万字前
428560	430280	把用户数据达到相对的高点
430280	431240	哪怕增长缓慢
431240	431780	也别放弃
431780	433660	40万字以上
433660	434840	根据数据调整节奏
434840	436260	不必过于依赖预设计结
436260	437440	看似对框架依赖弱
437440	438500	实际是更强的
438500	439580	原因前面也分析过
439580	440880	如果前期框架不够大
440880	442220	40万以上拉高槽
442220	443340	拉爆点时会有问题
443340	445100	所以一开始世界观做得足够大
445100	446360	直接影响40万字以上
446360	447300	能写多长多久
447300	448840	到这里
448840	450420	小说前40万字的规划节奏
450420	451140	与框架的关系
451140	451800	讲得差不多了
451800	453800	接下来介绍网文章节生成技巧
453800	455360	第一部分是章节估算
455360	456340	一般情况下
456340	457600	一章节字数差不多2000字
457600	459140	所以10万字就是50章节
459140	460620	15万字75章节
460620	462060	40万字200章节
462060	463460	这些数据先记下来
463460	465500	跟接下来操作有关系
465500	467120	从情节角度
467120	468660	15万字以内的情节可以预设
468660	470260	15万字以后可以慢慢规划
470260	473040	15到40万字是第一个疲劳期
473040	473880	若框架依赖
473880	476220	前期40万字内容最核心的是
476220	476920	15万字以内
476920	478300	40万字情节中
478300	479640	优先细节的就是
479640	480520	15万字以内的情节
480520	481440	对AI而言
481440	482940	15万字40万字没有概念
482940	483960	通常是理解故事
483960	484480	切多少段
484480	485460	生成内容占多少
485460	486700	这个对它而言有概念
486700	488800	所以要从全局角度
488800	489700	定大致指数目标
489700	490260	再切段
490260	491800	切完段看占比关系
491800	493040	以300万字作为标准
493040	493880	这是相对成熟
493880	495240	长篇网文小说基本指数
495240	496600	每10万字一个大章节
496600	498120	300万字就是30个大章节
498120	500080	40万字就是前4个大章节
500080	500940	这个逻辑下
500940	501580	很容易理解
501580	502320	如何引导AI
502320	503680	生成对应的情节内容
503680	504620	进行文字创作
504620	507100	对到章节生成计较后
507100	508240	那么如何使用AI
508240	509640	完成40万字的章节拆封
509640	510660	用拆封后的章节
510660	511900	继续创作正文内容
511900	513360	这里开始就要使用豆包
513360	514000	因为需要AI
514000	515620	根据之前框架信息构式创作
515620	516720	设计构式创作
516720	518380	基本要用到深度思考模式
518380	520620	刚才我们提到了一个关键概念
520620	521760	章节换算逻辑
521760	523840	把40万字光有数量级的字数
523840	524920	换算成章节数
524920	526580	引导AI拆封章节很有帮助
526580	528120	后面40万情节生成
528120	529580	就利用这种章节换算逻辑
529580	531560	把40万字拆封成章节
531560	532680	需要用到这段提示词
532680	534000	最开始这段提示词
534000	534660	做得很好
534660	535720	请记住你之前的设定
535720	536660	和所有的故事框架
536660	537900	这是鼓励引导逻辑
537900	539200	让AI理解之前的内容
539200	541200	然后把整个故事
541200	542460	拆封成30个大章节
542460	543840	每个大章节10万字
543840	544760	一定要告诉它
544760	545800	每个大章节10万字
545800	546320	否则
546320	548000	AI可能生成中篇小说梗概
551760	552320	不低于100字
552320	553580	告诉AI要的是梗概
553580	554440	不是演讲故事
554440	556320	最后
556320	557900	注意第一章节需要情节密集
557900	559280	且展开整个故事世界观
559280	560920	第二章节需要有密集爆点
560920	561940	这两句话根据之前
561940	562980	网文节奏分析得出
562980	563960	前10万字怎么写
563960	565240	10万到15万怎么写
565240	566600	在豆包对话框内
566600	568000	提交刚才的这段提示词
568000	569200	同时去擅长
569200	570200	我们在散解课
570200	571240	准备好的故事大纲
571240	573760	这里要去开启
573760	574760	深度思考模式
574760	576900	然后点击右边的发送按钮
576900	581520	我们可以点击这里的
581520	583180	深层文档并编辑的按钮
583180	584460	这30个大章节
584460	586580	就可以在新的编辑框里面进行操作了
586580	589420	可以看到这30大章的梗概
589420	591520	从头开始就可以看到最后的结尾
591520	593000	这30个大章后面内容
593000	594060	是暂时不用关心的
594060	595400	核心是前4大章节
595400	596960	因为前4大章节意味着
596960	598180	最后拆分成40万字
598180	599940	40万字里面真正有价值
599940	601360	最核心的是前20万字
601360	603040	也就是前两个大章节
603040	604920	因为15到40万字
604920	605720	是第一个皮套期
605720	606560	若框价依赖
606560	607960	后续调整情节
607960	609680	但需要基本故事梗概支撑
609680	610700	所以后面两个章节
610700	611960	是梗概有价值
611960	613420	但真正核心有价值的是
613420	614480	前面两个大章节
614480	616080	大章节拆解完之后
616080	616820	需要进行细化
616820	618380	每个章节按之前换算
618380	619600	应该是50个小章节
619600	620800	所以要把第一个章节
620800	621540	拆成50缝
621540	623140	第二个章节也是拆成50缝
623140	624700	才能引导后面文章生成
624700	627260	接下来是把大章节
627260	628300	拆解成小章节
628300	630320	依然用豆包的深度思考模式
630320	631140	因为需要创作
631140	633520	使用的是以下这段的提示词
633520	634020	进行拆解
634020	635240	这段提示词强调
635240	636600	每个小章节2000字
636600	638700	因为2000字有2000字的展开方式
638700	640080	100字有100字的方式
640080	641980	目前要了这2000字的展开方式
641980	643380	才能正确引导网文创作
643380	647760	同时生成这50个小章节的故事梗概
647760	649500	每个小章节梗概不低于50字
649500	650840	这次生成第一大章节
650840	651800	50个小章节梗概
651800	653720	同样再生成第二大章节
653720	654440	50个小章节
654440	655340	逻辑一模一样
655340	656840	只是把第一个换成第二个
656840	659460	接下来我们回到豆包的界面
659460	661660	先把刚才生成的30大章节梗概
661660	662840	保存到电脑上
662840	664760	点击右上角的下载按钮
664760	666100	就可以将这个文档
666100	667420	进行下载到自己电脑上了
667420	669400	确认他们已经被下到电脑上
669400	671620	你可以打开这个文档
671620	676460	确认章节是否都已经是在上面
676460	677200	如果没有的话
677200	678260	你可以单独再复制
678260	681760	可以回到这个界面
681760	683620	也就是刚才生成的
683620	685260	这个大章节的这个位置
685260	686540	复制
686540	692060	然后使用自己的office软件或者是WPS软件
692060	694920	将这个大章节复制到自己的电脑上
694920	698700	最后是左上角选择另存为
698700	701520	选择WPS文件
701520	706320	然后再保存到本地
706320	708380	给它取名字为30大章节
708380	713420	这样就可以把刚才的大章节的梗概
713420	714740	就保存到自己电脑上了
714740	716480	然后我们就是要对第一个大章节
716480	717960	进行拆分成50个小章节
717960	719440	输入的是这一段的提示词
719440	720400	提示词的核心是
720400	721840	拆分成50个小章节
721840	723160	每个小章节是2000字
723160	725620	同时是输出每个小章节梗概
725620	726580	不低于50字
726580	729400	记住要选择思考模式
729400	730980	点击发送按钮
730980	740500	同样豆包帮我们去拆分成
740500	741460	第一个大章节之后
741460	742940	我们可以把它第一大章节的
742940	743820	50个小章节
743820	745500	保存到自己的电脑上
745500	747320	点击右上角的这里下载按钮
747320	748600	去下载文档
748600	750080	在文档里面
750080	751600	你就可以找到这第一大章节的
751600	752820	50个小章节梗概
752820	755020	所以前40万字情节生成逻辑
755020	756340	就是按章节换算逻辑
756340	756960	逐机拆分
756960	758340	最终拆到小章节
758340	760260	一定要理解章节换算逻辑
760260	761240	捋清楚这个概念
761240	764740	第一章节50个小章节梗概出来后
764740	765460	拆的差不多了
765460	766220	接下来输出内容
766220	767680	从输出内容开始要注意
767680	769740	之前情节框架都让AI创意写好了
769740	771160	接下来是故事梗概括写
771160	772480	括写不需要深度思考
772480	774160	只要按既定框架填充内容
774160	776680	我们将这段提示词给到豆包AI
776680	779100	这时候我们不需要去开启思考的模式
779100	780900	我们点击右侧的发送按钮
780900	782460	让它快速生成第一章的内容
790260	793540	我们来看一下第一章节的内容
793540	794740	开篇这里写到
794740	796720	尖锐的鸣笛像触耳毒的针
796720	797860	狠狠扎进灵验的耳膜
797860	799080	他猛的踩下刹车
799080	801520	轮胎在百路上划出刺耳的摩擦声
801520	802260	视野里
802260	804540	一辆尸库的重型货车
804540	805940	正带着滔天的晨烟
805940	807500	朝他的小轿车迎面撞来
807500	808600	这段读起来有些平淡
808600	809720	如果是小说的前三章
809720	811040	这样的内容其实勉强过得去
811040	812300	只要情节可以吸引人
812300	813420	但前三章太重要
813420	814000	至关重要
814000	814840	需要进一步论设
814840	816640	我们可以点击上面的下载按钮
816640	818980	同样将它保存到自己的电脑上
818980	821560	然后打开这第一章的内容
821560	824940	我们打开之后
824940	827420	这里可以再重新
827420	828880	回到豆包的AI界面
828880	830340	左上角找到新对话
830340	832400	这样开启新的一个对话
832400	834440	跟之前的拆封章节就不会干扰了
834440	837020	我们去上传刚才的这第一章节的内容
837020	843880	我们上传之后
843880	846000	要利用到豆包的深度思考模式
846000	847280	帮它进行一个论设
847280	851900	现在输入新的一个论设提示词
851900	853320	是这样的
853320	855060	现在你是一名网络小说专家
855060	856380	我需要你根据提交的
856380	857840	网文小说章节内容进行论设
857840	858760	使之更精彩
858760	860060	语言表达更流畅
860060	861500	但情节人物不变
861500	862760	字数不低于2000字
862760	865200	将这段提示词进行发送
865200	867040	让豆包进行论设
867040	882640	点击这里的生成文档
882640	883620	并编辑的按钮
883620	887160	我们就可以看到润射之后的这篇文章
887160	890660	我们可以重新打开一下刚才没有润射之前的这个文章
890660	894040	在刚开始的这个第一行第一段落
894040	896340	就可以看到很多的一个润射后的一个效果
896340	898100	跟润射前是很有明显的一个区别
898100	899740	因此我们可以通过豆包
899740	901840	帮忙进一步的对章节进行润射
901840	904300	还是一样我们可以点击上方的下载按钮
904300	908640	将这一篇第一卷第一章的文章下载到自己的电脑上
908640	912740	后面文章是否需要用豆包润射
912740	913180	不一定
913180	914820	前三章章节一定要先生成
914820	916380	再用深度思考模式润射
916380	917720	因为这一步至关重要
917720	920040	前三章节真的非常非常重要
920040	921780	写不好整篇小说基本就废了
921780	923260	所以前三章节的建议是
923260	925860	先在最开始话题下生成对应的文本
925860	926820	文本生成完后
926820	929160	再用豆包开新的一个对话窗口进行润射
929160	930580	确保文章有表现力
930580	931580	甚至为了更好
931580	933800	还可以对文章进行手工的干预
933800	935280	调整情节细节润射
935280	936800	具体的人工干预论润射
936800	938260	我们在之前的课程已经提到过
938260	940040	感兴趣的同学可以回头覆盘一下
940040	942420	上面已经拆封了大章节和小章节
942420	943960	同时开始生成第一章正文
943960	945520	生成了第一章的正文后
945520	947140	建议新开腾讯文档
947140	948960	把生成内容存下来
948960	951160	腾讯文档的操作方法在之前的课程有讲过
951160	953820	来到腾讯文档左上角选择新建
953820	955120	选择文档
955120	957000	创建一个新的空白文档
957000	959120	点击左侧有大章的一个选项
959120	960860	我们可以先在上方去输入
960860	962700	我们整个网文的文章
962700	964760	我们可以先把小说的标题
964760	965580	给它复制进来
965580	968600	同样我们可以把小说的大章节的标题
968600	974420	也找到并把它复制进来
974420	980020	这是大章节的第一个
980020	981120	它的大标题
981120	987120	然后去修改它的标题的级别
987120	989120	把它改成第二集的这个标题
989120	993120	那么我们刚才在豆包上进行论设之后的
993120	995120	它的这个文章
995120	996120	这是论设之后的一个文章
996120	999120	我们在保存到自己电脑上之后
999120	1001120	可以去打开它
1001120	1005120	这里它的小标题是叫做
1005120	1011120	是这个小章节的一个标题
1011120	1015120	那么这个是小章节的一个标题
1015120	1017120	去修改小章节标题为H3
1017120	1019120	也就是三级标题
1019120	1023120	可以在上面去写一个是第一章
1023120	1025120	那上面对应的也就是大章节
1025120	1027120	那上面对应的也就是大章节
1027120	1029120	最后就是它的一个正文
1029120	1031120	我们把正文同样给复制进来
1031120	1033120	我们可以删除这里的一个标题
1033120	1035120	因为它是大章节下的一个标题
1035120	1037120	我们使用小章节这里的一个标题
1037120	1038120	所以在左侧大章这里
1038120	1039120	我们可以就可以清晰的看到
1039120	1043120	最上面第一个是文章的一个网文小说的一个标题
1043120	1045120	这里是大章节的标题
1045120	1047120	下面是小章节的一个标题
1047120	1049120	当你去生成第二章或者第三章的时候
1049120	1051120	同样按照这个步骤
1051120	1052120	去把第二章的一个正文
1052120	1053120	第三章的一个正文
1053120	1055120	复制到腾讯文档进行排版整理
1055120	1057120	生成第二章的一个方式很简单
1057120	1058120	我们还是给它一段提示词
1058120	1062120	这段提示词是可以进行它的一个续写的一个功能
1062120	1064120	那么这里还是在豆包的界面上
1064120	1067120	让豆包进行生成我们的第二章的内容
1075120	1086120	同样生成完第二章之后
1086120	1088120	我们可以点击上面的下载
1088120	1090120	把它下载到自己的电脑上
1090120	1092120	再载到电脑上之后
1092120	1096120	我们可以把刚才的这第二章的正文内容
1096120	1099120	同样复制到腾讯的文档里面
1099120	1104120	这里要去修改它的二级的它的标签
1104120	1106120	我们要把这里标签标题
1106120	1110120	改成H3和上面第一章是平行的一个这个标题
1110120	1112120	然后接下来我们还可以继续回到豆包上
1112120	1115120	去生成第三章的正文内容
1115120	1116120	回到豆包上
1116120	1119120	我们还是在对话框内输入这样一个提示词
1119120	1122120	这里我们把这里的提示词内容是写成了第一卷第三章
1122120	1124120	字数不低于2000字
1124120	1125120	我们同样去点击发送按钮
1125120	1127120	让它生成第三章的一个正文
1134120	1140120	生成的第三章内容
1140120	1142120	同样我们可以点击上方的下载按钮
1142120	1144120	将它保存到自己的电脑上
1144120	1148120	然后打开这篇的文章
1148120	1150120	复制这篇正文
1150120	1154120	回到腾讯文档的页面
1154120	1156120	将这篇文章复制进来
1156120	1160120	同样去修改一下它的标题
1160120	1162120	它的格式改为H3
1162120	1164120	像你的前三章的正文
1164120	1166120	就已经是准备好了
1166120	1170120	通过这个方式进行整个的前三章的一个创作
1170120	1172120	在前三章生成完之后
1172120	1174120	你肯定会对某一些段落感到不满意
1174120	1176120	那可以直接在腾讯文档上进行创作
1176120	1178120	我们选中了腾讯文档
1178120	1179120	它上面某一个段落之后
1179120	1181120	可以出现上面的AI写作的按钮
1181120	1182120	我们点击它
1182120	1184120	可以直接选择这里的润色
1184120	1186120	我们选择润色这里更改
1186120	1188120	选择它的更活泼一点点
1188120	1189120	我们直接选择这个选项
1189120	1192120	它就会帮我们进行一个文章段落的一个润色
1192120	1193120	如果这个文章润色之后
1193120	1195120	你感觉它的一个效果不错
1195120	1197120	可以点击右下角的替换原文
1197120	1200120	那么我们就把这个小段落进行一个润色
